libelle;libelle_complet;mot_directeur;voie_tenante;voie_aboutissante;commune;code_insee;sti;rivoli
VA VA000055;Voie Anonyme Numéro 000055;;;;FENOUILLET;31182;31182A000055;
CHE DE RAUDELAUZETTE;Chemin de Raudelauzette;RAUDELAUZETTE;;;ST-ALBAN;31467;314670000114;3104670389S
IMP DE LA PLAINE;Impasse de la Plaine;PLAINE;;;AUSSONNE;31032;310320000093;3100320148W
AV DE GAVARNIE;Avenue de Gavarnie;GAVARNIE;;;UNION;31561;315610000103;3105610240W
CHE DE MONPAPOU;Chemin de Monpapou;MONPAPOU;;;ST-ORENS-DE-GAMEVILLE;31506;315060000120;3105060850Y
RUE DE GRENADE;Rue de Grenade;GRENADE;;;FENOUILLET;31182;311820000046;3101820180D
VA VA000101;Voie Anonyme Numéro 000101;;;;TOURNEFEUILLE;31557;31557A000101;
RUE AUGUSTE COMTE;Rue Auguste Comte;COMTE;;;TOULOUSE;31555;315551910415;3105550640G
ALL DU PORTEL;Allée du Portel;PORTEL;;;COLOMIERS;31149;311490000369;3101491025R
RUE DU MIDI;Rue du Midi;MIDI;;;TOURNEFEUILLE;31557;315570000295;3105573012B
AV CAMILLE PUJOL;Avenue Camille Pujol;PUJOL;;;TOULOUSE;31555;315555651228;3105551584H
RUE DE LA FUTAIE;Rue de la Futaie;FUTAIE;;;TOULOUSE;31555;315553017648;3105553640T
BD MAURICE GRYNFOGEL;Boulevard Maurice Grynfogel;GRYNFOGEL;;;COLOMIERS;31149;311490000213;3101490794P
AV EDOUARD SERRES;Avenue Édouard Serres;SERRES;;;COLOMIERS;31149;311490000423;3101490450R
RUE DES VOSGES;Rue des Vosges;VOSGES;;;TOULOUSE;31555;315557321622;3105558948M
RUE D ABOUKIR;Rue d'Aboukir;ABOUKIR;;;TOULOUSE;31555;315550019211;3105550028S
DSC DU RAMIER;Descente du Ramier;RAMIER;;;BLAGNAC;31069;310690000353;3100690900C
RUE AUGUSTE FOURES;Rue Auguste Foures;FOURES;;;TOULOUSE;31555;315558379037;3105550647P
VA VA007616;Voie Anonyme Numéro 007616;;;;TOULOUSE;31555;31555A007616;310555
VA VA008774;Voie anomyme numéro 008774;;;;TOULOUSE;31555;31555A008774;310555
VA VA000046;Voie Anonyme Numéro 000046;;;;MONDONVILLE;31351;31351A000046;
AV LEONARD DE VINCI;Avenue Léonard de Vinci;VINCI;;;BLAGNAC;31069;310690000427;3100690614S
RUE DE L ORNE;Rue de l'Orne;ORNE;;;TOULOUSE;31555;315555075202;3105556424U
RUE DES ERABLES;Rue des Érables;ERABLES;;;BEAUZELLE;31056;310560000035;3100560034T
IMP LARTET;Impasse Lartet;LARTET;;;VILLENEUVE-TOLOSANE;31588;315880000094;3105880514B
RUE ALFRED NOBEL;Rue Alfred Nobel;NOBEL;;;TOULOUSE;31555;315554969648;3105550196Z
RUE LOUIS VIGUIE;Rue Louis Viguié;VIGUIE;;;ST-ALBAN;31467;314670000145;3104670310F
IMP DE MAURENS;Impasse de Maurens;MAURENS;;;CUGNAUX;31157;311570000148;3101570469B
AV DES CHARMETTES;Avenue des Charmettes;CHARMETTES;;;TOULOUSE;31555;315551676801;3105551964W
AV MAURICE MAGRE;Avenue Maurice Magre;MAGRE;;;TOULOUSE;31555;315558412409;3105555807Y
CHE RURAL  DE LASBORDES;Chemin rural de Lasbordes;LASBORDES;;;QUINT;31445;314450000135;310445
IMP DE LIMAYRAC;Impasse de Limayrac;LIMAYRAC;;;TOULOUSE;31555;315558369916;3105555269N
CHE BAUDE;Chemin Baude;BAUDE;;;PIBRAC;31417;314170000020;310417
IMP ALFRED DUMERIL;Impasse Alfred Duméril;DUMERIL;;;TOULOUSE;31555;315552457660;3105550180G
IMP AUGUSTIN THIERRY;Impasse Augustin Thierry;THIERRY;;;TOULOUSE;31555;315556835234;3105550668M
IMP ANTONIN OLIVIER;Impasse Antonin Olivier;OLIVIER;;;ST-ALBAN;31467;314670000156;3104670040M
RUE ANDRE BETEILLE;Rue André Beteille;BETEILLE;;;BLAGNAC;31069;310690000051;3100690029F
RUE DE LA BOURSE;Rue de la Bourse;BOURSE;;;TOULOUSE;31555;315551116813;3105551380L
PL DE MONTELIMAR;Place de Montélimar;MONTELIMAR;;;TOULOUSE;31555;315554752001;3105556052P
IMP YVES BRUNAUD;Impasse Yves Brunaud;BRUNAUD;;;SEILH;31541;315410000014;3105410150K
RUE DES JEUX FLORAUX;Rue des Jeux Floraux;FLORAUX;;;BALMA;31044;310440000105;3100440461J
RUE GAMELSY;Rue Gamelsy;GAMELSY;;;TOULOUSE;31555;315553059233;3105553696D
RUE DE LA PEPINIERE;Rue de la Pépinière;PEPINIERE;;;BALMA;31044;310440000202;3100440691J
RUE DE LA NORMANDIE;Rue de la Normandie;NORMANDIE;;;TOULOUSE;31555;315554992022;3105556320F
CHE DU SABLET;Chemin du Sablet;SABLET;;;UNION;31561;315610000247;3105610690K
RTE D AUCH;Route d'Auch;AUCH;;;PIBRAC;31417;314170000013;310417
RUE DES TOURTERELLES;Rue des Tourterelles;TOURTERELLES;;;VILLENEUVE-TOLOSANE;31588;315880000179;3105880865H
IMP DE GRANDE BORDE;Impasse de Grande Borde;BORDE;;;AIGREFEUILLE;31003;310030000051;
IMP D HONFLEUR;Impasse d'Honfleur;HONFLEUR;;;TOULOUSE;31555;315558384230;3105554254K
PONT GARIGLIANO;Pont Garigliano;GARIGLIANO;;;TOULOUSE;31555;315558350705;310555X029B
IMP DU VANNEAU;Impasse du Vanneau;VANNEAU;;;UNION;31561;315610000285;3105610787R
AV DU GENERAL EISENHOWER;Avenue du Général Eisenhower;EISENHOWER;;;TOULOUSE;31555;315553155217;3105553818L
RUE DU GENERAL PELET;Rue du Général Pelet;PELET;;;TOULOUSE;31555;315558391545;3105553813F
RUE DE LA CITE SAINT GOBAIN;Rue de la Cité Saint-Gobain;GOBAIN;;;FENOUILLET;31182;311820000095;3101820070J
RUE LEJEUNE;Rue Lejeune;LEJEUNE;;;TOULOUSE;31555;315554025602;3105555140Y
SQ SPINELLE;Square Spinelle;SPINELLE;;;PIBRAC;31417;314170000170;3104170425Y
CHE BELLEGARRIGUES;Chemin Bellegarrigues;BELLEGARRIGUES;;;AUCAMVILLE;31022;310220000024;3100220050H
RUE ROLAND GARROS;Rue Roland Garros;GARROS;;;AUCAMVILLE;31022;310220000075;3100220400N
PL DU SIDOBRE;Place du Sidobre;SIDOBRE;;;COLOMIERS;31149;311490000430;3101491200F
VA VA000003;Voie Anonyme Numéro 000003;;;;UNION;31561;31561A000003;
VA VA000055;Voie Anonyme Numéro 000055;;;;ST-ORENS-DE-GAMEVILLE;31506;31506A000055;
RUE ROQUEMAUREL;Rue Roquemaurel;ROQUEMAUREL;;;TOULOUSE;31555;315556009617;3105557608F
AV HENRI GUILLAUMET;Avenue Henri Guillaumet;GUILLAUMET;;;TOULOUSE;31555;315553372803;3105554150X
RUE DANIEL FAUCHER;Rue Daniel Faucher;FAUCHER;;;TOULOUSE;31555;315558358214;3105552475B
RUE DE L ABBE JULES LEMIRE;Rue de l'Abbé Jules Lemire;LEMIRE;;;TOULOUSE;31555;315558431212;3105554821B
RUE DU GENERAL GIRAUD;Rue du Général Giraud;GIRAUD;;;TOULOUSE;31555;315558379445;3105553821P
CHE DE LA COLLINE;Chemin de la Colline;COLLINE;;;LAUNAGUET;31282;312820000143;
ALL DE FOURCAUDIS;Allée de Fourcaudis;FOURCAUDIS;;;COLOMIERS;31149;311490000185;3101490613T
RUE VINCENT D INDY;Rue Vincent d'Indy;INDY;;;TOURNEFEUILLE;31557;315570000232;3105573620M
RUE DU TOURMALET;Rue du Tourmalet;TOURMALET;;;TOURNEFEUILLE;31557;315570000428;3105573465U
RUE LAPEYROUSE;Rue Lapeyrouse;LAPEYROUSE;;;TOULOUSE;31555;315553865649;3105555012J
VA VA000105;Voie Anonyme Numéro 000105;;;;ST-ORENS-DE-GAMEVILLE;31506;31506A000105;
RUE DE KOUFRA;Rue de Koufra;KOUFRA;;;TOULOUSE;31555;315553715205;3105554864Y
RUE DE CASSIS;Rue de Cassis;CASSIS;;;UNION;31561;315610000066;3105610113H
IMP MONTCABRIER;Impasse Montcabrier;MONTCABRIER;;;TOULOUSE;31555;315554745604;3105556044F
RUE DES ROSIERS;Rue des Rosiers;ROSIERS;;;BLAGNAC;31069;310690000369;3100690932M
RUE LOUISE MICHEL;Rue Louise Michel;MICHEL;;;BALMA;31044;310440000168;3100440561T
SQ DU CHENE;Square du Chêne;CHENE;;;PIBRAC;31417;314170000060;3104170057Y
RUE GUY DE MAUPASSANT;Rue Guy De Maupassant;MAUPASSANT;;;ST-JEAN;31488;314880000128;3104880318Y
RUE RIVALS;Rue Rivals;RIVALS;;;COLOMIERS;31149;311490000396;3101491080A
RUE F PILATRE DE ROZIER;Rue François Pilatre De Rozier;ROZIER;;;TOULOUSE;31555;315558439639;3105556930U
IMP BERNARD DE VENTADOUR;Impasse Bernard de Ventadour;VENTADOUR;;;TOULOUSE;31555;315558391341;3105551075E
RUE DES TROIS PILIERS;Rue des Trois Piliers;PILIERS;;;TOULOUSE;31555;315556982444;3105558612X
VA VA000132;Voie Anonyme Numéro 000132;;;;TOURNEFEUILLE;31557;31557A000132;
RUE DES LILAS;Rue des Lilas;LILAS;;;BLAGNAC;31069;310690000231;3100690630J
IMP DE BAZARDENS;Impasse de Bazardens;BAZARDENS;;;CUGNAUX;31157;311570000022;3101570021P
IMP DU COLLEGE;Impasse Du Collège;COLLEGE;;;FLOURENS;31184;311840000001;3101840071B
RUE COUPEFER;Rue Coupefer;COUPEFER;;;TOULOUSE;31555;315552000053;3105552352T
PL ARAGON;Place Aragon;ARAGON;;;QUINT;31445;314450000005;3104450031Y
RUE DES CORBIERES;Rue des Corbières;CORBIERES;;;TOURNEFEUILLE;31557;315570000133;3105571400Z
AV SALVADOR ALLENDE;Avenue Salvador Allende;ALLENDE;;;TOULOUSE;31555;315558410042;3105558125T
IMP DU PRADAL;Impasse du Pradal;PRADAL;;;TOURNEFEUILLE;31557;315570000368;3105573100X
RUE JEANNE D ARC;Rue Jeanne d'Arc;ARC;;;CASTELGINEST;31116;311160000005;3101160564H
RUE BERNARD PALISSY;Rue Bernard Palissy;PALISSY;;;CASTELGINEST;31116;311160000139;3101160121B
IMP ABBE SICARD;Impasse Abbé Sicard;SICARD;;;BALMA;31044;310440000261;3100440008S
RUE DE ROCHEFORT;Rue De Rochefort;ROCHEFORT;;;BRUGUIERES;31091;310910000021;3100910192M
RUE PAUL CEZANNE;Rue Paul Cezanne;CEZANNE;;;TOULOUSE;31555;315551584041;3105556600K
RUE PABLO PICASSO;Rue Pablo Picasso;PICASSO;;;QUINT;31445;314450000091;3104450294J
CHE DES COURNADES;Chemin des Cournades;COURNADES;;;BRUGUIERES;31091;310910000136;310091
RUE DES CATALPAS;Rue des Catalpas;CATALPAS;;;PIBRAC;31417;314170000052;3104170048N
RPT DU PIGEONNIER;Rond-point du Pigeonnier;PIGEONNIER;;;COLOMIERS;31149;311490000516;310149
RUE DU MUGUET;Rue du Muguet;MUGUET;;;TOULOUSE;31555;315554838415;3105556152Y
ALL DU COUSERANS;Allée du Couserans;COUSERANS;;;COLOMIERS;31149;311490000136;3101490430U
RUE DU VAL D ARAN;Rue du Val d'Aran;ARAN;;;TOURNEFEUILLE;31557;315570000020;3105573490W
RUE DES PEUPLIERS;Rue des Peupliers;PEUPLIERS;;;ST-ALBAN;31467;314670000100;3104670355E
RUE MENGAUD;Rue Mengaud;MENGAUD;;;TOULOUSE;31555;315554563206;3105555876Y
ALL DE LA LIMAGNE;Allée de la Limagne;LIMAGNE;;;TOULOUSE;31555;315554121647;3105555264H
RUE DE GIROUSSENS;Rue de Giroussens;GIROUSSENS;;;TOULOUSE;31555;315553222420;3105553916T
PAS LOUIS PERGAUD;Passage Louis Pergaud;PERGAUD;;;TOULOUSE;31555;315555296012;3105555393Y
IMP DU CHENE;Impasse du Chêne;CHENE;;;BEAUZELLE;31056;310560000021;3100560025H
BD AS CAMBIOTS;Boulevard As Cambiots;CAMBIOTS;;;BALMA;31044;310440000056;3100440088D
VOIE DES CARENES;Voie des Carènes;CARENES;;;BALMA;31044;310440000060;310044
RUE DE LA VIGUERIE;Rue de la Viguerie;VIGUERIE;;;ST-ORENS-DE-GAMEVILLE;31506;315060000212;3105061330V
RUE MAURIES;Rue Mauries;MAURIES;;;TOULOUSE;31555;315554518448;3105555824S
RPT NOLLET;Rond-Point Nollet;NOLLET;;;BALMA;31044;310440000189;310044
RUE DE L AVENIR;Rue de l'Avenir;AVENIR;;;TOULOUSE;31555;315550416012;3105550712K
VA VA000021;Voie Anonyme Numéro 000021;;;;AUSSONNE;31032;31032A000021;
RUE DU LAC D OO;Rue du Lac d'Oo;OO;;;UNION;31561;315610000188;3105610340E
RUE DES FLANDRES;Rue des Flandres;FLANDRES;;;TOULOUSE;31555;315552825619;3105553332H
IMP DES ECUREUILS;Impasse des Écureuils;ECUREUILS;;;BEAUZELLE;31056;310560000032;3100560036V
VA VA000057;Voie Anonyme Numéro 000057;;;;PIBRAC;31417;31417A000057;
RUE DES FOUGERES;Rue des Fougères;FOUGERES;;;TOULOUSE;31555;315552908860;3105553404L
RUE JEAN RICHEPIN;Rue Jean Richepin;RICHEPIN;;;TOULOUSE;31555;315555891249;3105554648N
RUE CHARLAS;Rue Charlas;CHARLAS;;;TOULOUSE;31555;315551667221;3105551912P
RUE EMILE ZOLA;Rue Emile Zola;ZOLA;;;TOULOUSE;31555;315557350403;3105552996T
VA VA000040;Voie Anonyme Numéro 000040;;;;PIBRAC;31417;31417A000040;
CHEM DU GEN CHARLES FRS DUGUA;Cheminement du Gen Charles-Francois Dugua;DUGUA;;;TOULOUSE;31555;315559000092;3105553833C
IMP DE MESSENIE;Impasse De Messénie;MESSENIE;;;BRUGUIERES;31091;310910000071;3100910258J
RUE GILBERT CESBRON;Rue Gilbert Cesbron;CESBRON;;;TOULOUSE;31555;315558431518;3105553891R
RPT DE VIDAILHAN;Rond-point de Vidailhan;VIDAILHAN;;;BALMA;31044;310440000314;310044
IMP SAINT PERIER;Impasse Saint-Perier;PERIER;;;VILLENEUVE-TOLOSANE;31588;315880000169;3105880824N
CHE DE LA CEPIERE;Chemin de la Cépière;CEPIERE;;;TOULOUSE;31555;315551568003;3105551820P
RUE DE LA PRAIRIE;Rue de la Prairie;PRAIRIE;;;TOURNEFEUILLE;31557;315570000370;3105573091M
IMP DE LA GINESTIERE;Impasse de la Ginestière;GINESTIERE;;;PIN-BALMA;31418;314180000011;3104180180C
RUE DE DOMREMY;Rue de Domrémy;DOMREMY;;;TOULOUSE;31555;315552377653;3105552740P
RTE D AUSSONNE;Route d'Aussonne;AUSSONNE;;;CORNEBARRIEU;31150;311500000010;3101500006D
RPT DE VENUS;Rond-point de Venus;VENUS;;;COLOMIERS;31149;311490000530;310149
RUE DES LITANIES;Rue des Litanies;LITANIES;;;PIBRAC;31417;314170000112;3104170255N
IMP DES LILAS;Impasse Des Lilas;LILAS;;;GRATENTOUR;31230;312300000052;310230
IMP BOUCHER DE PERTHES;Impasse Boucher de Perthes;PERTHES;;;VILLENEUVE-TOLOSANE;31588;315880000136;3105880122A
CHE DE PAHIN;Chemin de Pahin;PAHIN;;;TOURNEFEUILLE;31557;315570000332;3105572860L
RUE DES MICOCOULIERS;Rue des Micocouliers;MICOCOULIERS;;;TOULOUSE;31555;315558344910;3105555934L
RUE DES CERISIERS;Rue Des Cerisiers;CERISIERS;;;DREMIL-LAFAGE;31163;311630000015;3101630054Z
CHE DE LOS PLANOS LOUNGOS;Chemin de Los Planos Loungos;LOUNGOS;;;AUSSONNE;31032;310320000063;310032B044P
RPT DE NEPTUNE;Rond-point de Neptune;NEPTUNE;;;COLOMIERS;31149;311490000514;310149
IMP BERLIOZ;Impasse Berlioz;BERLIOZ;;;ST-ALBAN;31467;314670000026;3104670195F
VOIE DE PRAT LONG;Voie de Prat-Long;PRAT-LONG;;;BALMA;31044;310440000219;310044
CHE DU SANG DE SERP;Chemin du Sang de Serp;SERP;;;TOULOUSE;31555;315556473621;3105558132A
RUE AUGUSTE DIDE;Rue Auguste Dide;DIDE;;;TOULOUSE;31555;315552304043;3105550644L
RUE ROBERT BAJAC;Rue Robert Bajac;BAJAC;;;TOULOUSE;31555;315558356459;3105557526S
ALL DU VAR;Allée du Var;VAR;;;COLOMIERS;31149;311490000464;3101491336D
RUE DE MALTENS;Rue de Maltens;MALTENS;;;TOULOUSE;31555;315554316849;3105555548S
PL JEAN JAURES;Place Jean Jaurès;JAURES;;;AUSSONNE;31032;310320000056;3100320080X
CHE DE CEZEROU;Chemin de Cezerou;CEZEROU;;;CUGNAUX;31157;311570000063;3101570160R
RPT DU DR GEORGES ROQUES;Rond-point Du Docteur Georges Roques;ROQUES;;;TOULOUSE;31555;315558446648;3105552699V
PONT D EMPALOT;Pont d'Empalot;EMPALOT;;;TOULOUSE;31555;315558420326;310555X093W
RUE LOUIS DEFFES;Rue Louis Deffes;DEFFES;;;TOULOUSE;31555;315552188858;3105555368W
RUE RENE CASSIN;Rue René Cassin;CASSIN;;;CASTELGINEST;31116;311160000038;3101160942U
IMP DES PAPILLONS;Impasse des Papillons;PAPILLONS;;;BEAUZELLE;31056;310560000081;3100560117H
RUE MONTCABRIER;Rue Montcabrier;MONTCABRIER;;;TOULOUSE;31555;315554742431;3105556048K
IMP COLUCHE;Impasse Coluche;COLUCHE;;;ST-ALBAN;31467;314670000045;3104670094W
RPT DE JUPITER;Rond-point de Jupiter;JUPITER;;;COLOMIERS;31149;311490000503;310149
ALL DU TOUR;Allée du Tour;TOUR;;;CASTELGINEST;31116;311160000183;3101161060X
RUE DE L ORATOIRE;Rue de l'Oratoire;ORATOIRE;;;TOURNEFEUILLE;31557;315570000326;3105572820T
RUE JORGE SEMPRUN;Rue Jorge Semprun;SEMPRUN;;;LAUNAGUET;31282;312820000138;3102820158V
LOT LE PETIT TAILLANTIE;Lotissement Le Petit Taillantie;TAILLANTIE;;;MONDONVILLE;31351;313510000075;310351A018M
RUE CLAIRE PAUILHAC;Rue Claire Pauilhac;PAUILHAC;;;TOULOUSE;31555;315555219239;3105552076T
RUE PIERRE DE COURBERTIN;Rue Pierre de Courbertin;COURBERTIN;;;FONBEAUZARD;31186;311860000017;310186
PL DU BUSCA;Place du Busca;BUSCA;;;TOULOUSE;31555;315551251209;3105551464C
PL DES POTIERS;Place des Potiers;POTIERS;;;CORNEBARRIEU;31150;311500000104;3101500159V
PL DU VALLON;Place du Vallon;VALLON;;;CORNEBARRIEU;31150;311500000137;3101500209Z
CHE DE LAFAGE;Chemin de Lafage;LAFAGE;;;AIGREFEUILLE;31003;310030000015;3100030040E
RUE GABRIEL PORTALEZ;Rue Gabriel Portalez;PORTALEZ;;;BALMA;31044;310440000214;3100440371L
VA VA007947;Voie Anonyme Numéro 007947;;;;TOULOUSE;31555;31555A007947;310555
RUE DE GRUISSAN;Rue de Gruissan;GRUISSAN;;;UNION;31561;315610000116;3105610273G
RUE DE NAZAN;Rue de Nazan;NAZAN;;;ST-ORENS-DE-GAMEVILLE;31506;315060000130;3105060902E
RUE DU GIROU;Rue du Girou;GIROU;;;UNION;31561;315610000111;3105610260T
RUE JEAN BAPTISTE NOULET;Rue Jean-Baptiste Noulet;NOULET;;;TOULOUSE;31555;315554998429;3105556328P
RUE SOUFFLOT;Rue Soufflot;SOUFFLOT;;;TOULOUSE;31555;315556662416;3105558288V
RUE JEAN LEBAS;Rue Jean Lebas;LEBAS;;;TOULOUSE;31555;315554003218;3105554604R
PONT DE LA CROIX DE PIERRE;Pont de la Croix De Pierre;PIERRE;;;TOULOUSE;31555;315558420122;310555X092V
RTE D59;D59;D59;;;DREMIL-LAFAGE;31163;311630000048;310163
ALL DES TAMARIS;Allée des Tamaris;TAMARIS;;;COLOMIERS;31149;311490000442;3101491235U
RUE SAUNIERE;Rue Saunière;SAUNIERE;;;TOULOUSE;31555;315556524847;3105558168P
RUE HERGE;Rue Hergé;HERGE;;;TOULOUSE;31555;315559000116;3105554213R
BD DE L EUROPE;Boulevard de l'Europe;EUROPE;;;BLAGNAC;31069;310690000157;3100690313P
RUE GEORGES BIZET;Rue Georges Bizet;BIZET;;;TOULOUSE;31555;315550902400;3105553844P
IMP DU VERCORS;Impasse du Vercors;VERCORS;;;CUGNAUX;31157;311570000262;3101570726F
RUE DE MADAGASCAR;Rue de Madagascar;MADAGASCAR;;;TOULOUSE;31555;315554249646;3105555484X
AV JEAN HENRI JAMBOM;Avenue Jean Henri Jambon;JAMBOM;;;COLOMIERS;31149;311490000600;3101490714C
RUE JACQUES DAGUERRE;Rue Jacques Daguerre;DAGUERRE;;;TOULOUSE;31555;315558417704;3105554397R
AV DU CORPS FRANC POMMIES;Avenue du Corps Franc Pommies;POMMIES;;;TOULOUSE;31555;315551964814;3105552314B
IMP PAUL GAUGUIN;Impasse Paul Gauguin;GAUGUIN;;;TOURNEFEUILLE;31557;315570000193;3105572919A
IMP EMILIE;Impasse Émilie;EMILIE;;;PIBRAC;31417;314170000081;3104170106B
IMP DU BOULODROME;Impasse du Boulodrome;BOULODROME;;;LESPINASSE;31293;312930000088;3102930029G
ALL LOUISE THULIEZ;Allée Louise Thuliez;THULIEZ;;;COLOMIERS;31149;311490000576;3101490808
PL REMBRANDT;Place Rembrandt;REMBRANDT;;;CUGNAUX;31157;311570000197;3101570616L
RUE TICKY HOLGADO;Rue Ticky Holgado;HOLGADO;;;TOULOUSE;31555;315559000094;3105558479C
PL DE TEL AVIV;Place Tel Aviv;AVIV;;;TOULOUSE;31555;315556801607;3105558422R
IMP DES FAUVETTES;Impasse des Fauvettes;FAUVETTES;;;FENOUILLET;31182;311820000034;3101820104W
RUE DU LAC;Rue du Lac;LAC;;;SAINT-JORY;31490;314900000114;3104900121A
AV DES MOURLINGUES;Avenue des Mourlingues;MOURLINGUES;;;BALMA;31044;310440000181;3100440609V
IMP DU GOELAND ARGENTE;Impasse du Goéland Argenté;ARGENTE;;;UNION;31561;315610000022;3105610276K
RUE EDMOND GUYAUX;Rue Edmond Guyaux;GUYAUX;;;TOULOUSE;31555;315553388841;3105552884W
IMP LEMOZI;Impasse Lemozi;LEMOZI;;;VILLENEUVE-TOLOSANE;31588;315880000100;3105880523L
RUE VINCENT AURIOL;Rue Vincent Auriol;AURIOL;;;ST-ALBAN;31467;314670000016;3104670500M
RUE DU PONT FAURE;Rue du Pont Faure;FAURE;;;CASTELGINEST;31116;311160000071;3101160880B
RPT DU BONHEUR;Rond-point du Bonheur;BONHEUR;;;COLOMIERS;31149;311490000523;310149
VA VA000089;Voie Anonyme Numéro 000089;;;;BALMA;31044;31044A000089;
IMP PAUL LANGEVIN;Impasse Paul Langevin;LANGEVIN;;;ST-JEAN;31488;314880000005;3104880536K
CHE DU LAC;Chemin du Lac;LAC;;;VILLENEUVE-TOLOSANE;31588;315880000091;3105880509W
AV DONADIEU;Avenue Donadieu;DONADIEU;;;ST-ORENS-DE-GAMEVILLE;31506;315060000061;3105060618W
IMP DU MOINEAU;Impasse du Moineau;MOINEAU;;;UNION;31561;315610000169;3105610408D
RUE GIUSEPPE VERDI;Rue Giuseppe Verdi;VERDI;;;TOULOUSE;31555;315557177646;3105553920X
RUE PIQUEMIL;Rue Piquemil;PIQUEMIL;;;TOULOUSE;31555;315555417614;3105556936A
RUE DE LA TOUR DE RONDE;Rue de la Tour de Ronde;RONDE;;;CASTELGINEST;31116;311160000198;3101161080U
RTE D902;Route D902;D902;;;BEAUZELLE;31056;310560000005;3100560041A
IMP DE LA SAUDRUNE;Impasse de la Saudrune;SAUDRUNE;;;VILLENEUVE-TOLOSANE;31588;315880000171;3105880826R
PAS CLEMENT ADER;Passage Clément Ader;ADER;;;CUGNAUX;31157;311570000006;3101570190Y
CHE DU GASCOU;Chemin du Gascou;GASCOU;;;GAGNAC-SUR-GARONNE;31205;312050000029;3102050095L
PL ROGUET;Place Roguet;ROGUET;;;TOULOUSE;31555;315555974429;3105557576W
AV DE GRANDE BRETAGNE;Avenue de Grande Bretagne;BRETAGNE;;;TOULOUSE;31555;315553289623;3105553984S
RUE MAURICE ALET;Rue Maurice Alet;ALET;;;TOULOUSE;31555;315558341533;3105555790E
RPT DE LA SOLIDARITE;Rond-point de la Solidarité;SOLIDARITE;;;COLOMIERS;31149;311490000532;310149
PL DU GENERAL DE GAULLE;Place de Général de Gaulle;GAULLE;;;CASTELGINEST;31116;311160000152;3101160480S
RUE DE LA FLANERIE;Rue de la Flanerie;FLANERIE;;;CASTELGINEST;31116;311160000074;3101160407M
CHE DE LA BORDETTE;Che de la Bordette;BORDETTE;;;BALMA;31044;310440000308;3100440164L
IMP MARCEL LANGER;Impasse Marcel Langer;LANGER;;;TOULOUSE;31555;315553846438;3105555620V
IMP MARIE MARVINGT;Impasse Marie Marvingt;MARVINGT;;;AUSSONNE;31032;310320000067;3100320119P
IMP MIRABEAU;Impasse Mirabeau;MIRABEAU;;;BEAUPUY;31053;310530000005;3100530255W
CHE BEL AIR;Chemin Bel-Air;AIR;;;COLOMIERS;31149;311490000057;3101490160A
RUE JOSEPH MARIGNAC;Rue Joseph Marignac;MARIGNAC;;;TOULOUSE;31555;315554409660;3105554764P
RUE BEAU SOLEIL;Rue Beau Soleil;SOLEIL;;;TOULOUSE;31555;315550694455;3105550956A
RUE RAPHAEL;Rue Raphaël;RAPHAEL;;;TOULOUSE;31555;315555734408;3105557280Z
PL PETIT PIERRE;Place Petit Pierre;PIERRE;;;PIBRAC;31417;314170000142;3104170338D
RUE PEYRAS;Rue Peyras;PEYRAS;;;TOULOUSE;31555;315555353645;3105556804G
SQ DES BLEUETS;Square des Bleuets;BLEUETS;;;PIBRAC;31417;314170000036;3104170036A
PL DES ANCIENS COMBATTANTS;Place Des Anciens Combattants;COMBATTANTS;;;LESPINASSE;31293;312930000044;3102930008J
RUE GASTON DOUMERGUE;Rue Gaston Doumergue;DOUMERGUE;;;TOURNEFEUILLE;31557;315570000156;3105571820F
PL JULES FERRY;Place Jules Ferry;FERRY;;;AUSSONNE;31032;310320000124;310032
ALL DU LOTIER;Allée du Lotier;LOTIER;;;CASTELGINEST;31116;311160000200;3101160610H
RUE DES SAULES;Rue des Saules;SAULES;;;UNION;31561;315610000261;3105610715M
PL DU PDT THOMAS WILSON;Place du Président Thomas Wilson;WILSON;;;TOULOUSE;31555;315555593605;3105558960A
PL INTERIEURE ST CYPRIEN;Place Intérieure Saint Cyprien;CYPRIEN;;;TOULOUSE;31555;315556164846;3105554336Z
RUE DE L HOURMETTE;Rue de l'Hourmette;HOURMETTE;;;TOULOUSE;31555;315558444526;3105554266Y
RESIDENCE DE L ORANGE BLEUE;Résidence de l'Orange Bleue;BLEUE;;;SAINT-JORY;31490;314900000117;
HAMEAU DU POIRIER;Hameau Du Poirier;POIRIER;;;MONDOUZIL;31352;313520000003;3103520130K
IMP PONS;Impasse Pons;PONS;;;TOULOUSE;31555;315555478410;3105556992L
RUE DU LAURAGAIS;Rue du Lauragais;LAURAGAIS;;;VILLENEUVE-TOLOSANE;31588;315880000095;3105880518F
VA VA000082;Voie Anonyme Numéro 000082;;;;UNION;31561;31561A000082;
IMP DES PRELES;Impasse des Prêles;PRELES;;;VILLENEUVE-TOLOSANE;31588;315880000146;3105880702F
IMP DES VIGNES;Impasse des Vignes;VIGNES;;;ST-ORENS-DE-GAMEVILLE;31506;315060000211;3105061315D
RTE DE CORNEBARRIEU;Route de Cornebarrieu;CORNEBARRIEU;;;AUSSONNE;31032;310320000029;3100320038B
RUE ALBERT CAMUS;Rue Albert Camus;CAMUS;;;PIBRAC;31417;314170000045;3104170007U
