libelle;libelle_complet;commune;code_insee;sti;rivoli;
IMP DU TREFLE;Impasse du Trèfle;CASTELGINEST;31116;311160000185;3101161100R;
ESP DE MONTURON;Esplanade de Monturon;COLOMIERS;31149;311490000319;3101490837L;
RUE DE COULMIERS;Rue de Coulmiers;TOULOUSE;31555;315551993656;3105552344J;
ALL JULES GUESDE;Allées Jules Guesde;TOULOUSE;31555;315553363223;3105554812S;
AV FRANCOIS MITTERRAND;Avenue François Mitterrand;CUGNAUX;31157;311570000157;3101570296N;
RUE DU DOCTEUR PRESSAC;Rue du Docteur Pressac;BLAGNAC;31069;310690000342;3100690276Z;
ALL D EUGENIE;Allée d'Eugénie;GAGNAC-SUR-GARONNE;31205;312050000059;P31205;
RUE DES FIGUIERS;Rue Des Figuiers;DREMIL-LAFAGE;31163;311630000056;3101630118U;
IMP DES MAZELINIERS;Impasse des Mazeliniers;TOULOUSE;31555;315559000075;3105555862H;
RUE ISAAC NEWTON;Rue Isaac Newton;BLAGNAC;31069;310690000285;3100690492J;
ALL DU LAURAGAIS;Allée du Lauragais;COLOMIERS;31149;311490000242;3101490751T;
PL DU SOUVENIR;Place du Souvenir;ST-ORENS-DE-GAMEVILLE;31506;315060000188;3105061195Y;
CHE MERIC;Chemin Méric;AUCAMVILLE;31022;310220000103;3100220230D;
RUE DU VALLON;Rue Du Vallon;DREMIL-LAFAGE;31163;311630000042;3101630348U;
RPT DU PR FRANCIS CAMBOU;Rond-point du Professeur Francis Cambou;TOULOUSE;31555;315558454402;3105553461Y;
RUE DU VIGNEMALE;Rue du Vignemale;BEAUZELLE;31056;310560000112;3100560167M;
AV DE LASBORDES;Avenue de Lasbordes;TOULOUSE;31555;315553923211;3105555072Z;
IMP DES GENTIANES;Impasse Des Gentianes;FLOURENS;31184;311840000058;3101840145G;
RUE JEAN COCTEAU;Rue Jean Cocteau;TOURNEFEUILLE;31557;315570000126;3105572190H;
RUE DE LA VERGE D OR;Rue de la Verge d'Or;TOULOUSE;31555;315557193623;3105558796X;
RUE DES MIMOSAS;Rue des Mimosas;BLAGNAC;31069;310690000256;3100690678L;
RUE DES SOURCES;Rue des Sources;QUINT;31445;314450000116;3104450400Z;
RUE DE BRETAGNE;Rue de Bretagne;FENOUILLET;31182;311820000019;3101820065D;
RUE PIERRE RUBENS;Rue Pierre Rubens;TOULOUSE;31555;315556086451;3105556912Z;
PL F ESPOSITO;Place F. Esposito;CUGNAUX;31157;311570000271;310157;
IMP DE LA TOUR;Impasse De La Tour;LESPINASSE;31293;312930000034;3102930204X;
CHE DE LA PESCADOURE;Chemin de la Pescadoure;TOULOUSE;31555;315555337607;3105556784K;
RUE PIERRE DE FERMAT;Rue Pierre de Fermat;TOULOUSE;31555;315552758416;3105553260E;
RUE DES PRIMEVERES;Rue des Primevères;UNION;31561;315610000231;3105610655X;
RUE JEAN MONNET;Rue Jean Monnet;CORNEBARRIEU;31150;311500000087;3101500083M;
ALL DU PORTALAS;Allée du Portalas;COLOMIERS;31149;311490000368;3101491024P;
IMP DOUAI;Impasse Douai;TOULOUSE;31555;315552393630;3105552752C;
VA VA000028;Voie Anonyme Numéro 000028;UNION;31561;31561A000028;;
RUE DES TILLEULS;Rue des Tilleuls;ST-ALBAN;31467;314670000136;3104670501N;
RUE FINES;Rue Fines;TOULOUSE;31555;315552806408;3105553308G;
RUE MARIE CLAIRE DE CATELLAN;Rue Marie-Claire de Catellan;TOULOUSE;31555;315558454708;3105555691X;
ESP DE LA CAPITAINERIE;Esplanade de la Capitainerie;TOULOUSE;31555;315558446036;3105551670B;
 BOULINGRIN;Boulingrin;TOULOUSE;31555;315551072045;3105551329F;
CHE DE MERLANE;Chemin de Merlane;MONDONVILLE;31351;313510000049;3103510027C;
RUE DES MARGUERITES;Rue Des Marguerites;ST-JEAN;31488;314880000181;3104880430V;
IMP DU RECTEUR PAUL LAPIE;Impasse du Recteur Paul Lapie;TOULOUSE;31555;315558360642;3105557351B;
GIRATOIRE DEODAT DE SEVERAC;Giratoire Déodat de Sévérac;COLOMIERS;31149;311490000594;3101490457Y;
RUE DU VIGNEMALE;Rue Du Vignemale;GRATENTOUR;31230;312300000031;3102300320X;
IMP DE LAUNARS;Impasse de Launars;GRATENTOUR;31230;312300000076;310230;
IMP DE SARRANGINES;Impasse de Sarrangines;TOULOUSE;31555;315558397442;3105558151W;
PL DU MARCHE AUX COCHONS;Place du Marché Aux Cochons;TOULOUSE;31555;315554361607;3105555632H;
IMP PAUL VERLAINE;Impasse Paul Verlaine;VILLENEUVE-TOLOSANE;31588;315880000185;3105880917P;
RUE SAINT EXUPERY;Rue Saint-Exupéry;SAINT-JORY;31490;314900000056;310490;
RUE PICASSO;Rue Picasso;ST-JEAN;31488;314880000024;3104880554E;
PL DE L EUROPE;Place de l'Europe;CUGNAUX;31157;311570000093;3101570283Z;
RUE FRANCOIS RENE DE CHATEAUBRIAND;Rue François-René de Chateaubriand;BALMA;31044;310440000071;3100440247B;
VA VA001989;Voie Anonyme Numéro 001989;TOULOUSE;31555;31555A001989;310555;
CHEM DES FLAMANTS;Cheminement des Flamants;BLAGNAC;31069;310690000164;3100690356L;
RUE DE BORDEBLANCHE;Rue de Bordeblanche;BRAX;31088;310880000006;3100880191Z;
RUE FLORA TRISTAN;Rue Flora Tristan;TOULOUSE;31555;315559000189;3105553345X;
RPT ABBE RAYMOND JULIEN;Rond-point de  L'Abbé Raymond Julien;TOULOUSE;31555;315558444934;3105550021J;
VA VA004287;Voie Anonyme Numéro 004287;TOULOUSE;31555;31555A004287;310555;
VA VA000042;Voie Anonyme Numéro 000042;TOURNEFEUILLE;31557;31557A000042;;
CHE SANSOU;Chemin Sansou;TOULOUSE;31555;315556483252;3105558140J;
RUE JOSE CABANIS;Rue José Cabanis;ST-JEAN;31488;314880000183;3104880368C;
RUE DU PORTILLON;Rue du Portillon;TOULOUSE;31555;315555510425;3105557032E;
CHE DE LA SABATERE;Chemin de la Sabatère;CORNEBARRIEU;31150;311500000120;3101500044V;
IMP DU VALLON;Impasse du Vallon;MONDONVILLE;31351;313510000082;3103510071A;
RUE DES BRUYERES;Rue des Bruyères;TOURNEFEUILLE;31557;315570000075;3105571000P;
CHE DE LA FONTAINE;Chemin de la Fontaine;PIBRAC;31417;314170000086;3104170120S;
ALL DE LA COTE DE JADE;Allée de la Côte de Jade;COLOMIERS;31149;311490000230;3101490416D;
RUE DES AZES;Rue des Azes;TOULOUSE;31555;315550457607;3105550760M;
PL DE SAINT JEAN;Place de Saint-Jean;COLOMIERS;31149;311490000555;3101491112K;
PL AMAT MASSOT;Place Amat Massot;TOULOUSE;31555;315550131233;3105550236T;
RUE MICHEL LABROUSSE;Rue Michel Labrousse;TOULOUSE;31555;315558402737;3105555929F;
IMP THEODORE SUDRE;Impasse Théodore Sudre;TOULOUSE;31555;315558421642;3105558461H;
AV DES CHENES;Avenue des Chênes;ST-ORENS-DE-GAMEVILLE;31506;315060000047;3105060580E;
RUE DU BOURG;Rue du Bourg;GAGNAC-SUR-GARONNE;31205;312050000011;3102050020E;
RUE DE GASCOGNE;Rue de Gascogne;BLAGNAC;31069;310690000185;3100690405P;
RUE YVAN LACASSAGNE;Rue Yvan Lacassagne;TOULOUSE;31555;315558416755;3105558971M;
IMP DE LA MOUYSSAGUESE;Impasse de la Mouyssaguèse;PIN-BALMA;31418;314180000017;3104180235M;
CHE SALVAYRE;Rue Salvayre;AUCAMVILLE;31022;310220000145;3100220325G;
PONT GUILHEMERY;Pont Guilheméry;TOULOUSE;31555;315558352113;310555X036J;
RUE DE LA FRATERNITE;Rue de la Fraternité;TOULOUSE;31555;315552972829;3105553556B;
CHEM DES SOPHORAS;Cheminement des Sophoras;BLAGNAC;31069;310690000386;3100691026P;
PROM CLAUDE CORNAC;Promenade Claude Cornac;GRATENTOUR;31230;312300000059;3102300037P;
RUE JEAN STIELTJES;Rue Jean Stieltjes;TOULOUSE;31555;315556704001;3105554660B;
ALL CAMILLE CLAUDEL;Allée Camille Claudel;COLOMIERS;31149;311490000575;3101490286M;
RUE DE LA SALAMANDRE;Rue De La Salamandre;BRUGUIERES;31091;310910000106;3100910200W;
RUE DES SPORTS;Rue des Sports;COLOMIERS;31149;311490000438;3101491220C;
CHE DORTIS;Chemin Dortis;AUCAMVILLE;31022;310220000156;3100220250A;
AV DU PARC;Avenue du Parc;AUCAMVILLE;31022;310220000119;3100220270X;
CHE DE LA GRIFFE;Chemin de la Griffe;PIBRAC;31417;314170000099;3104170160K;
RUE FRANCOIS VILLON;Rue François Villon;BLAGNAC;31069;310690000425;3100690386U;
ALL DE LA BRESSE;Allée de la Bresse;COLOMIERS;31149;311490000604;3101490266R;
RUE VEGA;Rue Vega;MONDONVILLE;31351;313510000083;3103510068X;
AV DES ACACIAS;Avenue des Acacias;CUGNAUX;31157;311570000005;3101570010C;
RUE MIL HUIT CENT QUATORZE;Rue Mil Huit Cent Quatorze;TOULOUSE;31555;315554640040;3105555940T;
RUE DE LA PADERNE;Rue de la Paderne;TOURNEFEUILLE;31557;315570000330;3105572855F;
RUE DU LEVANT;Rue du Levant;CASTELGINEST;31116;311160000106;3101160595S;
IMP LEONTINE DE CASTELBAJAC;Impasse Léontine de Castelbajac;TOULOUSE;31555;315559000069;3105555186Y;
RUE GEORGES BUFFON;Rue Georges Buffon;CUGNAUX;31157;311570000046;3101570337H;
RUE FRANCOIS BOUSQUET;Rue François Bousquet;TOULOUSE;31555;315551132851;3105553496L;
RUE D AVIGNON;Rue d'Avignon;TOULOUSE;31555;315550428826;3105550728C;
RUE DE VALENCAY;Rue de Valençay;TOURNEFEUILLE;31557;315570000437;3105573504L;
CHE DE ROCAMADOUR;Chemin de Rocamadour;TOULOUSE;31555;315555958452;3105557548R;
IMP BENEZET;Impasse Bénézet;TOULOUSE;31555;315550774401;3105551036M;
VA VA008775;Voie anomyme numéro 008775;TOULOUSE;31555;31555A008775;310555;
CHE DES MAILHEAUX;Chemin des Mailheaux;VILLENEUVE-TOLOSANE;31588;315880000107;3105880550R;
IMP DES PINSONS;Impasse des Pinsons;CASTELGINEST;31116;311160000151;3101160850U;
ALL DU CIMETIERE;Allée Du Cimetière;MONS;31355;313550000046;3103550047G;
IMP DU POITOU;Impasse du Poitou;BLAGNAC;31069;310690000335;3100690831C;
RUE DU HUIT MAI 1945;Rue du Huit Mai 1945;TOURNEFEUILLE;31557;315570000003;3105572070C;
RUE ALFRED GRANDIDIER;Rue Alfred Grandidier;TOULOUSE;31555;315553292857;3105550188R;
IMP DES GLIERES;Impasse des Glières;TOULOUSE;31555;315558395014;3105553935N;
LOT LE HAMEAU DES ECOLES;Lotissement Le Hameau des Écoles;AUSSONNE;31032;310320000034;310032A043B;
CHE DE L ECHUT;Chemin de l'Échut;COLOMIERS;31149;311490000162;3101490447M;
AV DE MONTAUBAN;Avenue De Montauban;BRUGUIERES;31091;310910000018;3100910145L;
RUE REGUELONGUE;Rue Reguelongue;TOULOUSE;31555;315555808008;3105557364R;
IMP DES GENEVRIERS;Impasse des Genévriers;TOULOUSE;31555;315553171255;3105553830Z;
IMP DE LA SAUDRUNE;Impasse de la Saudrune;LAUNAGUET;31282;312820000107;3102820240J;
RUE ANTOINE BAYES;Rue Antoine Bayes;TOULOUSE;31555;315550646402;3105550396S;
RUE MARIE MAURON;Rue Marie Mauron;BALMA;31044;310440000331;P310044;
IMP DE LESPINASSE;Impasse de Lespinasse;AUCAMVILLE;31022;310220000089;3100220192M;
CHE DU CHENE CORNU;Chemin du Chêne Cornu;FENOUILLET;31182;311820000028;3101820082X;
PL DES AVIONS;Place des Avions;TOULOUSE;31555;315550435223;3105550736L;
CHE DES TOURETTES;Chemin des Tourettes;QUINT;31445;314450000120;3104450431H;
AV VICTOR HUGO;Avenue Victor Hugo;BALMA;31044;310440000126;3100440916D;
VA VA000137;Voie Anonyme Numéro 000137;TOURNEFEUILLE;31557;31557A000137;;
RUE DE CHATEAUDUN;Rue de Châteaudun;TOULOUSE;31555;315551699236;3105551988X;
AV WINSTON CHURCHILL;Avenue Winston Churchill;TOULOUSE;31555;315558344053;3105558962C;
RUE JEAN RACINE;Rue Jean Racine;TOULOUSE;31555;315555699220;3105554640E;
RUE FABIEN ARTIGUE;Rue Fabien Artigue;TOULOUSE;31555;315550300827;3105553176N;
RUE PIERRE DE FERMAT;Rue Pierre de Fermat;BALMA;31044;310440000103;3100440654U;
RUE JEAN MERMOZ;Rue Jean Mermoz;ST-JEAN;31488;314880000184;3104880357R;
RUE JEAN WEBER;Rue Jean Weber;TOULOUSE;31555;315559000126;3105554669L;
RUE DES CHANTERELLES;Rue des Chanterelles;PIBRAC;31417;314170000054;3104170053U;
RUE PAUL DESIRE;Rue Paul Desire;TOULOUSE;31555;315552272028;3105556608U;
RUE RAPHAEL;Rue Raphaël;CUGNAUX;31157;311570000194;3101570615K;
IMP DU PETIT BOIS;Impasse du Petit Bois;QUINT;31445;314450000014;3104450311C;
RUE DES BUISSONNETS;Rue des Buissonnets;DREMIL-LAFAGE;31163;311630000055;3101630041K;
RUE DES FERRONNIERS;Rue des Ferronniers;BLAGNAC;31069;310690000162;3100690349D;
PL DES PASSEMENTIERS;Place des Passementiers;BLAGNAC;31069;310690000307;3100690740D;
RUE DU PASTEL;Rue du Pastel;ST-ORENS-DE-GAMEVILLE;31506;315060000234;;
RUE ROBERT DEBRE;Rue Robert Debré;TOULOUSE;31555;315558432834;3105557531X;
RUE DE LA MARNE;Rue de la Marne;TOURNEFEUILLE;31557;315570000278;3105572570W;
RUE GERMAINE TILLION;Rue Germaine Tillion;TOULOUSE;31555;315559000152;3105553870T;
ALL DU TOURMALET;Allée du Tourmalet;COLOMIERS;31149;311490000451;3101491272J;
CHE DE CASSEBOIS;Chemin de Cassebois;CUGNAUX;31157;311570000057;3101570110L;
IMP DU TERTRE;Impasse du Tertre;TOURNEFEUILLE;31557;315570000421;3105570346D;
ALL MARIE ROUANET;Allée Marie Rouanet;COLOMIERS;31149;311490000550;3101490776V;
RUE DE LA SOURCE;Rue de la Source;DREMIL-LAFAGE;31163;311630000080;3101630314G;
VA VA000108;Voie Anonyme Numéro 000108;AUSSONNE;31032;31032A000108;;
RUE JOSEPH GUEPIN;Rue Joseph Guepin;TOULOUSE;31555;315553360050;3105554752B;
CHE DU TOUCH;Chemin du Touch;TOURNEFEUILLE;31557;315570000463;3105573430F;
IMP DES AMIS;Impasse des Amis;ST-ALBAN;31467;314670000013;3104670034F;
IMP ANDRE MARESTAN;Impasse André Marestan;TOULOUSE;31555;315554400019;3105550314C;
IMP DES CHENES;Impasse Des Chênes;LESPINASSE;31293;312930000015;3102930037R;
RTE DE MONS;Route de Mons;BALMA;31044;310440000176;3100440600K;
RUE DU PIC D AUBISQUE;Rue du Pic d'Aubisque;UNION;31561;315610000029;3105610582T;
RUE DES CACTUS;Rue des Cactus;TOULOUSE;31555;315551264013;3105551476R;
RUE FRANCOIS RICARDIE;Rue François Ricardie;TOULOUSE;31555;315555884852;3105553540J;
RUE DU PERIGORD;Rue du Périgord;TOURNEFEUILLE;31557;315570000351;3105572940Y;
RTE N224;Route Nationale N224;BLAGNAC;31069;310690000440;310069;
PCH DE LA BLANQUETTE;Petit Chemin de la Blanquette;COLOMIERS;31149;311490000064;3101490168J;
CHE PIGEONNIER LA CEPIERE;Chemin du Pigeonnier de la Cépière;TOULOUSE;31555;315558370008;3105556926P;
PAS HENRI FARMAN;Passage Henri Farman;BALMA;31044;310440000102;3100440442N;
RUE ROODE;Rue Roode;TOULOUSE;31555;315556000037;3105557596T;
AV DIDIER DAURAT;Avenue Didier Daurat;TOULOUSE;31555;315552170453;3105552651T;
CHEM JEAN FRANCOIS LESUEUR;Cheminement Jean-François Lesueur;TOULOUSE;31555;315554067248;3105554578M;
PL COMMERCIALE;Place Commerciale;MONTRABE;31389;313890000061;3103890026L;
RUE DU PR JOSEPH ANGLADE;Rue du Professeur Joseph Anglade;TOULOUSE;31555;315558365631;3105557155N;
RUE DU BERRY;Rue du Berry;TOULOUSE;31555;315550816047;3105551100G;
ALL DE LA PISCINE;Allée de la Piscine;BLAGNAC;31069;310690000331;3100690811F;
RUE CHARLES RICHET;Rue Charles Richet;BALMA;31044;310440000234;3100440243X;
RUE PHILIPPE FERAL;Rue Philippe Feral;TOULOUSE;31555;315552748846;3105556840W;
RUE BLAJA;Rue Blaja;TOULOUSE;31555;315550918438;3105551188C;
IMP DU PIC DES SEIGNEURS;Impasse du Pic des Seigneurs;UNION;31561;315610000263;3105610618G;
IMP DES VIOLETTES;Impasse des Violettes;VILLENEUVE-TOLOSANE;31588;315880000191;3105880919S;
SQ VOLVESTRE;Square Volvestre;PIBRAC;31417;314170000188;3104170459K;
CHE DE BOURROUIL;Chemin de Bourrouil;VILLENEUVE-TOLOSANE;31588;315880000021;3105880129H;
RUE DES PAQUERETTES;Rue des Pâquerettes;FONBEAUZARD;31186;311860000044;3101860108H;
ALL DES SOUPIRS;Allée des Soupirs;TOULOUSE;31555;315556691258;3105558308S;
RUE CASTELLANE;Rue Castellane;TOULOUSE;31555;315551504034;3105551760Z;
RUE DE LA BLANCHISSERIE;Rue de la Blanchisserie;TOULOUSE;31555;315550937649;3105551200R;
IMP DU CRUCIFIX;Impasse du Crucifix;LAUNAGUET;31282;312820000041;3102820090W;
IMP DE LA TOURASSE;Impasse de la Tourasse;TOULOUSE;31555;315558358622;3105558527E;
RUE DES PINSONS;Rue des Pinsons;PIBRAC;31417;314170000144;3104170346M;
RUE DE LA SOMME;Rue de la Somme;TOURNEFEUILLE;31557;315570000412;3105573370R;
BD HENRI GAUSSEN;Boulevard Henri Gaussen;TOULOUSE;31555;315558418612;3105554151Y;
ALL DES ALBERES;Allée des Albères;COLOMIERS;31149;311490000006;3101490022A;
CHE D AL NOBLE;Chemin d'Al Noble;COLOMIERS;31149;311490000316;3101490020Y;
PL INTERIEURE JEAN DOUJAT;Place Intérieure Jean Doujat;TOULOUSE;31555;315558360540;3105554335Y;
ALL DU VALOIS;Allée du Valois;COLOMIERS;31149;311490000462;3101491333A;
RUE DU LIMOUSIN;Rue du Limousin;VILLENEUVE-TOLOSANE;31588;315880000102;3105880527R;
RUE ARNAUD DE MOLLES;Rue Arnaud de Molles;TOULOUSE;31555;315554700846;3105550528K;
IMP HENRI GREGOIRE;Impasse Henri Grégoire;TOURNEFEUILLE;31557;315570000212;3105572035P;
RUE DES HIRONDELLES;Rue des Hirondelles;PIBRAC;31417;314170000101;3104170175B;
RUE JEAN FRANCOIS MILLET;Rue Jean-François Millet;CASTELGINEST;31116;311160000122;3101160540G;
RPT DES EPOUX MONGELARD;Rond-Point des Époux Mongelard;TOURNEFEUILLE;31557;315570000464;310557;
IMP SIMON ABADIE;Impasse Simon Abadie;FONBEAUZARD;31186;311860000062;3101860132J;
CHEM HENRI BOSCO;Cheminement Henri Bosco;TOULOUSE;31555;315558397952;3105554129Z;
CHEM GUIL ET JOSEPH BOUTON;Cheminement Guillaume et Joseph Bouton;TOULOUSE;31555;315558359224;3105554046J;
IMP PUJIBET;Impasse Pujibet;TOULOUSE;31555;315558347124;3105557193E;
PL DES MURIERS;Place des Mûriers;AUCAMVILLE;31022;310220000111;3100220233G;
RUE DU PR PIERRE VELLAS;Rue du Professeur Pierre Vellas;TOULOUSE;31555;315559000102;3105556919G;
IMP DU CLOS JULIA;Impasse du Clos Julia;GRATENTOUR;31230;312300000070;3102300036N;
RUE D ALBARET;Rue d'Albaret;TOULOUSE;31555;315550080007;3105550108D;
PRV SOEUR EMMANUELLE;Parvis Soeur Emmanuelle;TOULOUSE;31555;315559000191;3105558270A;
IMP DES GIROFLES;Impasse des Girofles;UNION;31561;315610000110;3105610255M;
CHE DE VERDALE;Chemin De Verdale;ST-JEAN;31488;314880000087;3104880736C;
AV DU COMMINGES;Avenue du Comminges;TOURNEFEUILLE;31557;315570000130;3105571380C;
RTE DE PARIS;Route de Paris;AUCAMVILLE;31022;310220000120;3100220280H;
RUE DES BAMBOUS;Rue des Bambous;CASTELGINEST;31116;311160000012;3101160090T;
CHE DES ARNIS;Chemin des Arnis;BALMA;31044;310440000016;3100440070J;
RUE SATURNE;Rue Saturne;LAUNAGUET;31282;312820000106;3102820247S;
AV DE LA PLAINE;Avenue de la Plaine;BALMA;31044;310440000210;3100440695N;
ALL DU TERLON;Allée Du Terlon;MONTRABE;31389;313890000088;3103890388E;
RUE GAY LUSSAC;Rue Gay-lussac;MONTRABE;31389;313890000044;3103890140K;
IMP DES PAQUERETTES;Impasse des Pâquerettes;UNION;31561;315610000199;3105610529K;
RUE DU DR LOUIS DELHERM;Rue du Docteur Louis Delherm;TOULOUSE;31555;315552345638;3105552692M;
CHE DE FENOUILLET;Chemin de Fenouillet;TOULOUSE;31555;315552745612;3105553238F;
RUE AUGUSTIN FRESNEL;Rue Augustin Fresnel;TOULOUSE;31555;315552988806;3105550664H;
RUE ALEXANDRE FLEMING;Rue Alexandre Fleming;TOULOUSE;31555;315558410858;3105550154D;
RPT MARIE MADELEINE FOURCADE;Rond-point Marie-Madeleine Fourcade;TOULOUSE;31555;315558447556;3105555679J;
RUE DES OMBRAGES;Rue des Ombrages;TOURNEFEUILLE;31557;315570000325;3105572815M;
RTE D63; Route D63;GAGNAC-SUR-GARONNE;31205;312050000002;310205;
AV DE LARDENNE;Avenue de Lardenne;TOULOUSE;31555;315553894430;3105555044U;
RUE FONTGRANDE;Rue Fontgrande;QUINT;31445;314450000038;3104450110J;
IMP DES CHALETS;Impasse des Chalets;CORNEBARRIEU;31150;311500000036;3101500027B;
RUE SYLVAIN MARCAILLOU;Rue Sylvain Marcaillou;TOULOUSE;31555;315559000150;3105558350M;
IMP DU CHATEAU D EAU;Impasse du Château d'Eau;BLAGNAC;31069;310690000146;3100690185A;
CHE DE BARUE;Chemin de Barue;ST-ORENS-DE-GAMEVILLE;31506;315060000015;3105060400J;
ALL DE L ARDECHE;Allée de l'Ardèche;COLOMIERS;31149;311490000019;3101490044Z;
RUE DE LA HACHE;Rue de la Hache;TOULOUSE;31555;315553401645;3105554092J;
CHE DE LA MANNE;Chemin de la Manne;BALMA;31044;310440000163;3100440572E;
AV DU CORAIL;Avenue du Corail;ST-ORENS-DE-GAMEVILLE;31506;315060000053;3105060590R;
CHE RURAL DIT DE FOUQUET;Chemin Rural dit de Fouquet;ST-ORENS-DE-GAMEVILLE;31506;315060000074;310506;
IMP DU MOULIN;Impasse du Moulin;CASTELGINEST;31116;311160000127;3101160713V;
ALL DES PLATANES;Allée des Platanes;VILLENEUVE-TOLOSANE;31588;315880000142;3105880690T;
RUE SALAMBO;Rue Salambo;TOULOUSE;31555;315556432026;3105558092G;
CHE DES SILOS;Chemin des Silos;TOULOUSE;31555;315556627228;3105558252F;
RUE DUFY;Rue Dufy;BLAGNAC;31069;310690000141;3100690277A;
RUE DE GRENADE;Rue de Grenade;TOULOUSE;31555;315553328035;3105554012X;
VA VA000069;Voie Anonyme Numéro 000069;CUGNAUX;31157;31157A000069;;
VA VA000144;Voie Anonyme Numéro 000144;UNION;31561;31561A000144;;
CHE DE LA GRAVIERE;Chemin De La Gravière;LESPINASSE;31293;312930000005;3102930080M;
RUE DES MAGNANARELLES;Rue des Magnanarelles;TOULOUSE;31555;315558344604;3105555506W;
VA VA000030;Voie Anonyme Numéro 000030;PIBRAC;31417;31417A000030;;
AV DE LA CERDAGNE;Avenue de la Cerdagne;QUINT;31445;314450000023;3104450070R;
RUE DU PIC DU MIDI;Rue du Pic du Midi;DREMIL-LAFAGE;31163;311630000035;3101630267F;
RUE JACQUES PREVERT;Rue Jacques Prévert;TOULOUSE;31555;315558415133;3105554427Y;
RUE AMELIE;Rue Amélie;TOULOUSE;31555;315550134406;3105550248F;
RUE DU 11 NOVEMBRE 1918;Rue du 11 Novembre 1918;CORNEBARRIEU;31150;311500000093;3101500140Z;
RUE VIGUERIE;Rue Viguerie;TOULOUSE;31555;315557251246;3105558872E;
ALL GEORGES BRAQUE;Allée Georges Braque;QUINT;31445;314450000016;3104450143V;
RUE MARIE CURIE;Rue Marie Curie;MONTRABE;31389;313890000013;3103890205F;
AV YVES BRUNAUD;Avenue Yves Brunaud;TOULOUSE;31555;315551219255;3105558972N;
IMP DE LA CHAMPAGNE;Impasse de la Champagne;TOURNEFEUILLE;31557;315570000105;3105571197D;
RUE DES GLAIEULS;Rue des Glaïeuls;BEAUZELLE;31056;310560000045;3100560054P;
CHE DES CABANES;Chemin Des Cabanes;BRUGUIERES;31091;310910000030;3100910041Y;
IMP DES ECARTS;Impasse des Écarts;TOURNEFEUILLE;31557;315570000162;3105571570J;
RTE DE TOULOUSE;Route de Toulouse;PIN-BALMA;31418;314180000032;3104180366E;
PL SAINT JACQUES;Place Saint Jacques;TOULOUSE;31555;315556259208;3105557844M;
AV DE VILLEMUR;Avenue De Villemur;GRATENTOUR;31230;312300000005;3102300325C;
RUE ALEXANDRE DUCOS;Rue Alexandre Ducos;TOULOUSE;31555;315552422411;3105550152B;
CHE DE LASBADORQUES;Chemin de Lasbadorques;CORNEBARRIEU;31150;311500000076;3101500079H;
IMP DE LA FORGE;Impasse de la Forge;ST-ORENS-DE-GAMEVILLE;31506;315060000072;3105060661T;
AV VICTOR SEGOFFIN;Avenue Victor Segoffin;TOULOUSE;31555;315556560025;3105558848D;
PAS JUSTIN FORT;Passage Justin Fort;TOULOUSE;31555;315559000086;3105554850H;
IMP D ANJOU;Impasse d'Anjou;TOURNEFEUILLE;31557;315570000016;3105570665A;
CHE DE PALAISSE;Chemin de Palaisse;CORNEBARRIEU;31150;311500000094;3101500146F;
RUE PAUL BERT;Rue Paul Bert;TOULOUSE;31555;315550819220;3105556584T;
VA VA000013;Voie Anonyme Numéro 000013;UNION;31561;31561A000013;;
VA VA000009;Voie Anonyme Numéro 000009;GAGNAC-SUR-GARONNE;31205;31205A000009;;
CHEM GUILLAUME APOLLINAIRE;Cheminement Guillaume Apollinaire;TOULOUSE;31555;315550198436;3105554038A;
VA VA000033;Voie Anonyme Numéro 000033;CORNEBARRIEU;31150;31150A000033;;
ALL EMMANUEL LAURENT;Allée Emmanuel Laurent;TOULOUSE;31555;315559000071;3105553001Y;
RUE DE PLAISANCE;Rue de Plaisance;TOULOUSE;31555;315555430418;3105556952T;
RUE JACQUES TEULIE;Rue Jacques Teulié;FENOUILLET;31182;311820000106;3101820207H;
IMP D ODEILLO;Impasse d'Odeillo;TOULOUSE;31555;315558383628;3105556361A;
IMP DES FLEURS;Impasse Des Fleurs;GRATENTOUR;31230;312300000032;3102300087U;
IMP DU CHEVREFEUILLE;Impasse du Chèvrefeuille;TOURNEFEUILLE;31557;315570000119;3105571307Y;
IMP DES TROUBADOURS;Impasse des Troubadours;CUGNAUX;31157;311570000230;3101570709M;
CHE DE SERAN;Chemin  de Séran;FENOUILLET;31182;311820000100;3101820407A;
RUE DANIELLE CASANOVA;Rue Danielle Casanova;TOULOUSE;31555;315551478426;3105552476C;
RUE DU LIBRE ECHANGE;Rue du Libre Echange;TOULOUSE;31555;315554096029;3105555236C;
RUE PIERRE BOURTHOUMIEUX;Rue Pierre Bourthoumieux;TOULOUSE;31555;315551123210;3105556864X;
IMP ANATOLE FRANCE;Impasse Anatole France;ST-JEAN;31488;314880000119;3104880035R;
RUE VELANE;Rue Velane;TOULOUSE;31555;315557145631;3105558748V;
IMP DES SIDABIES;Impasse des Sidabies;FENOUILLET;31182;311820000103;3101820409C;
RUE RENEE ASPE;Rue Renée Aspe;TOULOUSE;31555;315550321650;3105557398C;
IMP DES FRERE LUMIERE;Impasse des Frère Lumière;CUGNAUX;31157;311570000141;3101570312F;
PAS DU QUATORZE JUILLET;Passage du Quatorze Juillet;TOULOUSE;31555;315558403237;3105557211Z;
